"","YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY","X","X.1","YM.1","판매년월"
"385",201203,"일반탄산음료",42,2297,1417,11,212945,6556,10,NA,NA,"",""
"386",201204,"일반탄산음료",42,3001,1424,18,209151,17042,9,NA,NA,"",""
"387",201205,"일반탄산음료",46,3992,1445,24,215673,2095,10,NA,NA,"",""
"388",201206,"일반탄산음료",45,3243,1443,28,215525,8865,10,NA,NA,"",""
"389",201207,"일반탄산음료",48,3206,1476,29,203590,25076,9,NA,NA,"",""
"390",201208,"일반탄산음료",49,3778,1485,30,228142,32385,9,NA,NA,"",""
"391",201209,"일반탄산음료",50,2965,1498,25,223581,23569,10,NA,NA,"",""
"392",201210,"일반탄산음료",50,3090,1498,21,233331,11111,10,NA,NA,"",""
"393",201211,"일반탄산음료",49,2267,1539,11,229144,4805,8,NA,NA,"",""
"394",201212,"일반탄산음료",49,2295,1539,2,239129,3706,11,NA,NA,"",""
"395",201301,"일반탄산음료",49,2089,1539,2,240416,2528,9,NA,NA,"",""
"396",201302,"일반탄산음료",48,1880,1523,5,217015,6667,9,NA,NA,"",""
"397",201303,"일반탄산음료",49,2348,1516,12,243648,4364,11,NA,NA,"",""
"398",201304,"일반탄산음료",50,2435,1510,15,237340,6727,8,NA,NA,"",""
"399",201305,"일반탄산음료",50,3209,1520,23,245068,17217,10,NA,NA,"",""
"400",201306,"일반탄산음료",51,3274,1539,28,236180,7360,11,NA,NA,"",""
"401",201307,"일반탄산음료",51,3395,1539,29,241687,41344,8,NA,NA,"",""
"402",201308,"일반탄산음료",50,3894,1556,31,240142,22284,10,NA,NA,"",""
"403",201309,"일반탄산음료",49,3708,1553,26,231662,13699,12,NA,NA,"",""
"404",201310,"일반탄산음료",49,3413,1553,21,239981,3011,10,NA,NA,"",""
"405",201311,"일반탄산음료",50,2615,1548,12,232854,2944,9,NA,NA,"",""
"406",201312,"일반탄산음료",50,2443,1548,5,240458,202,10,NA,NA,"",""
